transaction_id,status,id_fin,distance,passengers_count,status1,pac_amount_to_collect,pac_status,pac_enabled,total_amount,linked_parent,amount,txn_tag,doi,doj
TRNAFAOE1Q8CU2,order_cancelled,1564371,268,1,success,130.0,waitlist,true,130.0,,130.0,Active                                            ,2019-03-25,20190326
TRNAFBHY22TM2E,order_cancelled,58425914,2235,6,success,4255.0,collected,true,4255.0,,4255.0,Active                                            ,2019-04-21,20190607
TRNAFBFSG6NXHK,order_cancelled,258335,1434,6,success,3650.0,collected,true,3650.0,,3650.0,Active                                            ,2019-04-19,20190602
TRNA1J539MDG8F,order_cancelled,15767909,986,1,success,510.0,collected,true,510.0,,510.0,Active                                            ,2019-04-18,20190520
TRNAFBGIFBMH6J,order_cancelled,49456590,784,4,success,1515.0,collected,true,1515.0,,1515.0,Active                                            ,2019-04-20,20190525
TRNAFBDL9IQ737,order_cancelled,56444845,1467,1,success,600.0,collected,true,600.0,,600.0,Active                                            ,2019-04-17,20190609
TRNA1J5A2KAO3G,order_cancelled,57367613,1286,3,success,6565.0,collected,true,6565.0,,6565.0,Active                                            ,2019-04-20,20190609
TRNA1J4NUL3F4W,order_cancelled,58081828,762,2,success,655.0,collected,true,655.0,,655.0,NEWLOB                                            ,2019-04-14,20190531
TRNAFBH71QUR11,order_cancelled,58551690,335,2,success,0.0,collected,true,1210.0,,1210.0,NEWLOB                                            ,2019-04-20,20190522
TRNAFBEJCWVICX,order_cancelled,38899625,1029,2,success,970.0,collected,true,970.0,,970.0,NEWGI                                             ,2019-04-18,20190521
TRNAFBCIXO5F38,order_cancelled,58066315,276,1,success,210.0,collected,true,210.0,,210.0,NEWGI                                             ,2019-04-16,20190617
TRNAFBETXVWX36,order_cancelled,55629613,653,1,success,405.0,collected,true,405.0,,405.0,Active                                            ,2019-04-18,20190615
TRNAFBBMFA617A,order_cancelled,58338247,1794,2,success,0.0,collected,true,3610.0,,3610.0,NEWGI                                             ,2019-04-15,20190608
TRNAFBDIZM8F49,order_cancelled,25129696,1355,1,success,2480.0,collected,true,2480.0,,2480.0,NEWLOB                                            ,2019-04-17,20190526
TRNAFBCS4BEUO8,order_cancelled,26552689,1654,1,success,1795.0,collected,true,1795.0,,1795.0,Active                                            ,2019-04-16,20190526
TRNAFBHBCQ6AN5,order_cancelled,24651953,953,2,success,3680.0,collected,true,3680.0,,3680.0,Active                                            ,2019-04-21,20190616
TRNAFBJ5GXM44Q,order_cancelled,58558363,250,1,success,580.0,collected,true,580.0,,580.0,NEWLOB                                            ,2019-04-22,20190525
TRNAFBBYVA3TDG,order_cancelled,31101035,666,1,success,1060.0,collected,true,1060.0,,1060.0,Active                                            ,2019-04-16,20190517
TRNAFBF9N025KT,order_cancelled,58072811,279,1,success,240.0,collected,true,240.0,,240.0,Active                                            ,2019-04-19,20190523
TRNAFBGH6X32JA,order_cancelled,30672272,661,1,success,1060.0,collected,true,1060.0,,1060.0,Active                                            ,2019-04-20,20190616
TRNAFBBGFU0PA9,order_cancelled,57684442,1392,3,success,1515.0,collected,true,1515.0,,1515.0,NEWLOB                                            ,2019-04-15,20190807
TRNAFBBHWZQOVX,order_cancelled,38016057,1257,2,success,2920.0,collected,true,2920.0,,2920.0,Dormant12                                         ,2019-04-15,20190519
TRNAFBBLW6ONB4,order_cancelled,1750586,1161,1,success,555.0,collected,true,555.0,,555.0,Active                                            ,2019-04-15,20190526
TRNAFBAJAFR1V3,order_cancelled,17824355,688,1,success,415.0,collected,true,415.0,,415.0,Active                                            ,2019-04-14,20190530
TRNAFB9ZDNYRH8,order_cancelled,30945257,1122,3,success,4195.0,collected,true,4195.0,,4195.0,Active                                            ,2019-04-14,20190519
TRNA1J5DVDRTC3,order_cancelled,58425914,2235,6,success,4165.0,collected,true,4165.0,,4165.0,NEWGI                                             ,2019-04-21,20190607
TRNAFBIGLMFMNJ,order_cancelled,58612191,619,1,success,390.0,collected,true,390.0,,390.0,NEWGI                                             ,2019-04-22,20190607
TRNAFBALW7QTV6,order_cancelled,52250071,201,1,success,180.0,collected,true,180.0,,180.0,Active                                            ,2019-04-14,20190516
TRNIFAQF43SHUS,order_cancelled,27152198,188,3,success,240.0,waitlist,true,240.0,,240.0,Active                                            ,2019-03-27,20190416
TRNA1J4RTXU0N2,order_cancelled,26291204,1153,1,success,1415.0,collected,true,1415.0,,1415.0,Active                                            ,2019-04-15,20190522
TRNAFBCCO5PDA3,order_cancelled,46081837,425,2,success,530.0,collected,true,530.0,,530.0,NEWGI                                             ,2019-04-16,20190519
TRNA1J5HM5PKTV,order_cancelled,56473133,1695,1,success,1760.0,collected,true,1760.0,,1760.0,Active                                            ,2019-04-22,20190523
TRNAFBI1C5RT9E,order_cancelled,6010997,1898,1,success,3255.0,collected,true,3255.0,,3255.0,NEWGI                                             ,2019-04-21,20190522
TRNA1J5DN9J914,order_cancelled,28645501,793,2,success,880.0,collected,true,880.0,,880.0,Active                                            ,2019-04-21,20190608
