transaction_id,status,id_fin,distance,passengers_count,status1,pac_amount_to_collect,pac_status,pac_enabled,total_amount,linked_parent,amount,txn_tag,doi,doj
TRNAFB9BRGONDS,confirmed,33241005,1099,1,success,535.0,waitlist,true,535.0,,535.0,NEWLOB                                            ,2019-04-13,20190517
TRNAFBFULJ9OSS,confirmed,51421343,1377,1,success,615.0,waitlist,true,615.0,,615.0,NEWLOB                                            ,2019-04-19,20190607
TRNAFBGQAYHS2P,confirmed,58385596,294,1,success,535.0,waitlist,true,535.0,,535.0,NEWGI                                             ,2019-04-20,20190525
TRNAFBH16JS0GX,confirmed,16850967,1348,1,success,1530.0,pending_utp,true,1530.0,,1530.0,Dormant6                                          ,2019-04-20,20190523
TRNAFBIEHEW1KG,confirmed,31905182,1284,1,success,1500.0,pending_utp,true,1500.0,,1500.0,NEWLOB                                            ,2019-04-22,20190524
TRNAFBDALSUJV3,order_cancelled,42726307,865,3,success,1295.0,collected,true,1295.0,,1295.0,Active                                            ,2019-04-17,20190630
TRNAFB9GMMSBG3,confirmed,58196360,1542,1,success,620.0,waitlist,true,620.0,,620.0,NEWGI                                             ,2019-04-13,20190604
TRNAFB9U0MQLDY,confirmed,55912844,982,1,success,510.0,waitlist,true,510.0,,510.0,Active                                            ,2019-04-14,20190604
TRNAFBAGA38H0L,confirmed,24944303,1099,2,success,2790.0,waitlist,true,2790.0,,2790.0,Active                                            ,2019-04-14,20190516
TRNAFBBFZAUH5L,confirmed,58326177,946,1,success,495.0,waitlist,true,495.0,,495.0,NEWGI                                             ,2019-04-15,20190530
TRNAFBCI8TDKXK,confirmed,31573892,2699,4,success,9020.0,waitlist,true,9020.0,,9020.0,Active                                            ,2019-04-16,20190517
TRNAFB9GBC3RJF,confirmed,58241739,361,1,success,280.0,waitlist,true,280.0,,280.0,NEWGI                                             ,2019-04-13,20190526
TRNAFBDVHGCVBN,confirmed,58157009,423,1,success,275.0,waitlist,true,275.0,,275.0,Active                                            ,2019-04-17,20190520
TRNAFBFNF05CKX,confirmed,37773664,1012,1,success,520.0,waitlist,true,520.0,,520.0,NEWLOB                                            ,2019-04-19,20190603
TRNAFBGPP4J7XJ,confirmed,26802416,2593,2,success,1640.0,waitlist,true,1640.0,,1640.0,Active                                            ,2019-04-20,20190609
TRNA1J59M7YGPA,order_cancelled,50899042,523,2,success,4040.0,collected,true,4040.0,,4040.0,NEWGI                                             ,2019-04-20,20190521
TRNAFBH78JFNCB,confirmed,57887832,2725,1,success,885.0,waitlist,true,885.0,,885.0,Active                                            ,2019-04-20,20190614
TRNA1J5HBMP5R5,confirmed,58587721,1232,1,success,1510.0,waitlist,true,1510.0,,1510.0,Active                                            ,2019-04-22,20190613
TRNA1J5HJL5M29,confirmed,36751681,253,2,success,440.0,waitlist,true,440.0,,440.0,Active                                            ,2019-04-22,20190523
TRNAFBIW78BN1S,confirmed,56751834,455,1,success,285.0,waitlist,true,285.0,,285.0,Active                                            ,2019-04-22,20190624
TRNAFBBA20HGDE,confirmed,38459175,986,1,success,1340.0,waitlist,true,1340.0,,1340.0,Active                                            ,2019-04-15,20190527
TRNAFBAYMJ7WI0,confirmed,58230623,1492,1,success,640.0,waitlist,true,640.0,,640.0,NEWGI                                             ,2019-04-15,20190517
TRNAFBA7RWR4FI,confirmed,25363973,655,2,success,2060.0,waitlist,true,2060.0,,2060.0,Active                                            ,2019-04-14,20190526
TRNAFBBOVL1P1N,order_payment_status_success,41645401,1194,6,success,6995.0,collected,true,6995.0,,6995.0,Active                                            ,2019-04-15,20190520
TRNAFBD9NEJK8X,confirmed,24167973,854,2,success,920.0,waitlist,true,920.0,,920.0,Active                                            ,2019-04-17,20190704
TRNAFBCIEX3RS3,confirmed,58336587,277,2,success,400.0,waitlist,true,400.0,,400.0,NEWGI                                             ,2019-04-16,20190517
TRNAFBDGFTE855,confirmed,56138436,1824,1,success,1845.0,waitlist,true,1845.0,,1845.0,NEWGI                                             ,2019-04-17,20190529
TRNAFBE1LZBEKW,confirmed,53351594,1520,3,success,1895.0,waitlist,true,1895.0,,1895.0,Active                                            ,2019-04-18,20190524
TRNA1J51CNTDZ8,confirmed,58423872,627,1,success,1020.0,waitlist,true,1020.0,,1020.0,NEWGI                                             ,2019-04-18,20190527
TRNA1J57HHI0ID,confirmed,47236736,1314,1,success,1575.0,waitlist,true,1575.0,,1575.0,NEWLOB                                            ,2019-04-19,20190525
TRNAFBG6YQWNOQ,confirmed,40485435,567,1,success,370.0,waitlist,true,370.0,,370.0,NEWGI                                             ,2019-04-20,20190622
TRNA1J5HBCZVGK,confirmed,14685727,1205,2,success,2950.0,waitlist,true,2950.0,,2950.0,Active                                            ,2019-04-22,20190602
TRNAFBIXTBOC8Y,confirmed,55985801,499,1,success,805.0,waitlist,true,805.0,,805.0,Active                                            ,2019-04-22,20190524
TRNIFBLD909ZN3,order_payment_status_success,27152198,7,1,success,40.0,collected,true,40.0,,40.0,Active                                            ,2019-04-24,20190425
TRNAFBBM246FQE,confirmed,19428975,588,1,success,375.0,waitlist,true,375.0,,375.0,Active                                            ,2019-04-15,20190527
TRNAFBA1B5YWT0,confirmed,55819500,630,1,success,390.0,waitlist,true,390.0,,390.0,NEWLOB                                            ,2019-04-14,20190528
TRNAFBGJNRP1LA,confirmed,58427459,1830,1,success,730.0,waitlist,true,730.0,,730.0,NEWGI                                             ,2019-04-20,20190608
TRNA1J4XWH5HQJ,confirmed,57711382,593,1,success,380.0,waitlist,true,380.0,,380.0,NEWLOB                                            ,2019-04-17,20190525
TRNAFB99T32DUA,confirmed,58194194,967,1,success,475.0,pending_utp,true,475.0,,475.0,Active                                            ,2019-04-13,20190608
TRNAFBDW39HOYD,confirmed,32550205,1211,1,success,540.0,waitlist,true,540.0,,540.0,Active                                            ,2019-04-17,20190518
TRNAFBFQGO36PN,confirmed,58480121,1824,1,success,2215.0,waitlist,true,2215.0,,2215.0,NEWGI                                             ,2019-04-19,20190521
TRNAFBHUVCLNGA,confirmed,58575218,390,1,success,955.0,waitlist,true,955.0,,955.0,NEWGI                                             ,2019-04-21,20190604
TRNAFBHVIEY7O4,confirmed,51793490,977,1,success,1330.0,waitlist,true,1330.0,,1330.0,NEWGI                                             ,2019-04-21,20190525
TRNIFBK8AV4VR8,confirmed,31349173,7,1,success,40.0,waitlist,true,40.0,,40.0,Active                                            ,2019-04-23,20190424
TRNAFBGNRPV958,confirmed,33176342,987,1,success,1340.0,waitlist,true,1340.0,,1340.0,NEWGI                                             ,2019-04-20,20190531
TRNAFBA6C8S1WT,confirmed,43780034,818,1,success,455.0,waitlist,true,455.0,,455.0,NEWGI                                             ,2019-04-14,20190525
